exam_id,fold
1169160,3
2873686,0
168405,1
271011,0
384368,3
2950575,1
1467619,2
1537328,1
981735,0
132538,3
1237983,4
2854912,-1
864626,0
2893691,2
1323712,3
1409062,2
2976758,2
2847128,1
534112,3
2918812,2
53198,1
389793,2
2816326,1
1059264,3
247114,3
1460972,1
1307964,4
4246794,2
2756846,0
220096,4
3128893,0
3151650,4
948847,4
73867,2
1479595,0
1523546,-1
1234456,0
552294,2
333234,1
744507,2
605089,3
369863,4
1077809,3
804590,1
2954215,3
1185527,1
312364,4
2536784,0
224710,0
4404349,4
2790583,1
610849,0
2990141,2
684135,2
636937,3
150490,4
176058,1
2821208,2
2933819,2
3155819,3
722928,4
665580,3
3196852,-1
132699,0
2896602,4
1064289,2
3075641,2
531224,0
178474,4
1525316,1
1407749,0
2532803,0
1608176,0
260982,4
669209,3
449868,1
1579532,2
360491,3
2991235,2
609336,0
918499,1
1562739,4
130387,-1
1490929,3
3103362,0
25936,3
1608206,2
676001,2
140022,1
3099643,4
1036014,2
1075703,4
1486163,3
56216,1
4196689,1
908765,-1
3409819,4
903967,0
723507,3
3403875,0
1143716,4
660866,4
266726,1
2778953,0
660414,0
1158881,1
3057254,3
702401,1
19954,0
352194,4
199245,3
1352279,1
857577,3
39255,0
278397,0
1277675,2
642472,2
1371008,3
477228,2
789869,2
1316476,3
3795719,4
356743,-1
106749,2
844619,3
428592,2
3037930,4
1347622,1
713015,4
2758569,4
1234216,2
1460876,-1
2841895,3
1515883,2
899467,4
4251647,1
2755767,1
4203911,3
1395952,2
3194557,0
2956797,4
1426702,2
1625075,3
3196851,0
3219971,1
240399,3
4235841,3
1027238,0
1118627,2
646585,3
290551,0
613933,0
1550335,0
1618860,3
3121484,1
4242414,2
468046,1
434062,2
755900,0
2920568,3
2831181,1
1058199,2
806213,3
18611,1
23240,4
1349984,1
50183,0
2877298,1
1193012,3
240341,2
17070,4
4395024,3
233976,-1
818189,1
623697,0
2683047,4
3137311,0
1668826,4
643818,0
872588,1
2742997,3
981694,4
1648054,3
1407404,4
3615635,0
1016535,3
1065755,3
824338,2
3044495,0
1083338,0
325857,2
1557019,1
1198465,4
393285,3
757097,1
2746790,3
4237082,2
1213047,0
456009,-1
3126781,4
1347487,3
1342749,2
654640,2
568217,0
310813,2
731823,0
1248238,0
2535030,4
912526,0
3123518,0
747454,1
1187361,0
3082431,0
1352260,4
3837,4
1654937,3
869513,3
323367,1
1251588,1
795733,2
1428040,0
1105693,3
2727507,0
1294551,0
1479229,0
3159743,1
3177016,4
3026099,4
2992716,2
996962,1
1518058,4
1224091,4
1672284,3
434674,0
482393,1
3068538,3
1257423,0
841347,1
1000564,2
322046,2
1377303,4
4401832,2
1526971,1
1307183,1
799095,4
3059210,2
1362031,3
719030,1
1426363,3
3177139,0
2993095,2
2955360,1
103742,1
1519813,3
3787861,0
903801,3
698418,3
1166830,3
1547113,2
1191700,0
1209571,3
1346562,3
784949,3
2680936,0
3198364,4
807882,0
2656256,3
960354,3
222294,4
959383,0
56537,2
974728,2
1040724,1
79387,0
1212599,1
1329238,4
1068943,0
332088,0
1393302,3
4390266,4
731547,2
709732,1
1526946,0
678976,3
97547,3
408345,1
789320,2
3204982,2
572771,3
843246,1
1445015,0
3798489,2
2520656,1
2816465,4
341469,4
210652,3
1013691,1
78785,3
3097188,4
652152,0
2888732,2
2658274,2
1490956,1
736976,3
955742,3
638604,4
1365097,0
272329,2
849618,1
1500630,0
1226338,1
837483,3
4215666,1
766309,4
1613970,3
2850812,3
1646647,4
1174632,0
656982,4
682413,1
967240,0
1160048,4
118270,4
2839508,1
1225055,3
207887,1
983388,3
2666038,0
1417393,1
1252714,0
4273405,0
1439470,3
3226889,0
335025,2
2921880,1
983506,1
672195,0
4205577,4
959146,2
893458,0
55224,2
704898,2
665577,4
1299129,3
1384661,4
460071,3
2728581,4
708949,2
134506,4
2668050,4
2829685,4
1185840,1
3158243,4
1126697,4
91288,0
2660251,4
4390974,0
1047116,-1
411184,3
767066,0
3171018,3
558992,0
1278551,4
1650784,4
1528399,1
2905463,0
2834,3
286512,1
2678117,0
2999852,2
31081,4
4395923,1
1395737,1
766827,3
664568,1
389748,2
8376,2
130313,2
3129871,0
1663938,4
3076199,2
413954,4
895972,4
214263,2
2781148,2
672814,1
2877649,4
58843,3
1242814,1
1522861,1
1419801,2
680497,1
483782,2
1021165,0
3216465,4
4197398,2
671340,0
1167161,3
1202499,3
2874122,3
922143,4
1645885,2
3205200,-1
2885688,1
1477781,0
3079411,0
122778,3
607680,4
178172,3
552016,3
334974,4
2654809,1
1015308,0
3216231,4
1381128,0
53111,4
909600,2
178407,2
675470,3
944710,3
1330217,0
1399285,0
394322,0
4254854,2
1259171,4
3413628,4
3015649,3
232810,1
1609896,2
998238,0
4218155,0
1348043,3
1497444,0
2882510,1
731012,2
3057251,4
646650,3
2863859,0
67559,0
540160,4
978407,4
815965,0
838011,4
426939,0
4261184,3
162021,4
484509,0
1274344,3
1629709,2
374165,2
4268478,2
839817,1
835126,3
449644,4
4276307,2
785355,3
3164465,1
1128372,2
351690,4
1229149,-1
117385,2
279894,2
1133204,0
1288930,2
2743942,2
958643,3
1078472,2
871183,0
3909,4
1253931,3
115820,0
1372848,3
356324,3
366722,2
1128377,3
82629,4
577328,1
106833,1
56298,4
631024,-1
1608384,0
760962,1
3195245,1
1207151,2
3188146,4
4255849,2
1155892,4
1609342,1
886254,1
451756,4
956513,3
2668571,1
1457738,2
1123556,2
3123093,4
824242,-1
207365,4
896802,1
813045,0
2760577,1
896528,3
2849813,0
2981225,4
461022,1
927915,2
2823464,2
527946,1
874510,3
2672094,2
530714,4
227653,4
2787039,0
3040416,4
2729196,3
95705,2
1460783,1
104487,3
3788172,0
1031977,2
1656771,4
1785908,3
1071091,0
2884907,4
438469,2
1514919,0
305694,2
1521099,0
461339,1
1022957,0
97829,2
825352,4
36827,2
262256,4
3106828,1
802320,4
794160,2
1019452,3
562280,3
364175,2
642729,4
1328541,4
1553530,1
929499,3
2740774,3
3157205,-1
553258,4
241794,3
1265619,2
2844955,0
955564,1
3225595,3
3401716,3
1088270,1
1094809,3
1095849,4
2530509,2
73171,4
344461,0
1065280,0
151714,3
1503407,2
4415381,0
2865170,2
590479,-1
729973,4
3111605,1
3800703,0
189233,2
328130,3
678402,2
2819126,4
208586,1
3003251,0
1167669,3
3192763,1
952891,2
1640480,1
1231286,4
1096110,3
3618430,1
2737910,1
345862,1
1481900,0
661044,4
310061,1
283307,2
